Match_ID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,rain_game
1497,2011-11-05,Hertha,M'gladbach,1,2,A,0
1498,2011-11-25,FC Koln,M'gladbach,0,3,A,0
1499,2011-10-01,Freiburg,M'gladbach,1,0,H,0
1500,2012-02-06,Munich 1860,Cottbus,2,0,H,0
1501,2011-12-11,Dresden,Cottbus,2,1,H,0
1502,2011-10-28,Hansa Rostock,Cottbus,1,1,D,0
1503,2012-04-15,Paderborn,Cottbus,3,1,H,0
1504,2011-11-21,Bochum,Cottbus,0,1,A,0
1505,2011-07-22,Duisburg,Cottbus,1,2,A,1
1506,2012-03-04,Ein Frankfurt,Cottbus,1,0,H,0
1507,2011-08-13,Aachen,Cottbus,0,2,A,0
1508,2011-08-29,Erzgebirge Aue,Cottbus,0,0,D,0
1509,2012-04-05,Greuther Furth,Cottbus,3,0,H,0
1510,2012-02-17,Karlsruhe,Cottbus,2,0,H,0
1511,2012-03-25,St Pauli,Cottbus,0,0,D,0
1512,2011-10-16,Frankfurt FSV,Cottbus,0,1,A,0
1513,2011-12-02,Union Berlin,Cottbus,1,0,H,0
1514,2012-04-29,Ingolstadt,Cottbus,1,0,H,0
1515,2011-09-17,Braunschweig,Cottbus,3,1,H,0
1516,2011-09-24,Fortuna Dusseldorf,Cottbus,4,2,H,0
1517,2011-08-13,Paderborn,Greuther Furth,0,1,A,0
1518,2012-04-20,Frankfurt FSV,Greuther Furth,1,1,D,0
1519,2012-02-03,Dresden,Greuther Furth,3,1,H,0
1520,2012-04-10,Braunschweig,Greuther Furth,0,0,D,0
1521,2011-11-28,Fortuna Dusseldorf,Greuther Furth,2,1,H,0
1522,2012-03-02,Duisburg,Greuther Furth,0,2,A,0
